Madagascar,1300,2300,4100,12784,35752,63094,147500,163010,283666,333888,510269,1045888,2217612,4835239,6283799,7711721
Malawi,382,3700,7000,10500,22500,49000,55730,86047,135114,222135,421163,620163,1050852,1507684,2485646,3117364
Malaysia,1005066,1520320,2000000,2200000,2990000,5121748,7385000,9053000,11124000,14611000,19545000,19463722,23347000,27713000,30144000,33859000
Maldives,0,20,1290,1606,2926,7638,18894,41899,66466,113246,203620,271053,313539,435627,457770,494351
Mali,0,1187,2842,4473,6387,10398,23997,45974,247223,406861,761986,1512948,2530891,3438568,4460543,7440383
Malta,10791,12500,17691,22531,37541,114444,239416,276859,289992,306067,323980,346771,368530,385636,422083,455579
Marshall Islands,264,365,466,345,443,447,489,552,598,644,660,1000,1500,2000,3000,3800
Mauritania,0,0,0,0,0,15300,110463,247238,350954,522400,745615,1060122,1413967,2091992,2182249,2744978
Mauritius,11735,20843,42515,60448,102119,180000,272416,347532,462405,547745,656828,772395,928622,1033300,1086748,1190900
Mexico,688513,1021900,1740814,3349475,7731635,14077880,21757559,25928266,30097700,38451135,47128746,55395461,66559462,75303469,83193574,91362753
"Micronesia, Fed. Sts.",0,0,0,0,0,0,0,100,5869,12782,14094,18616,27436,27500,27500,27518
Moldova,14,920,2200,7000,18000,139000,225000,338225,475942,787000,1089800,1358152,1882830,2423416,2784832,3165052
Monaco,3005,5400,7200,11474,13080,13927,14302,14874,15081,15750,17191,18307,20400,22000,23000,23414
Mongolia,0,900,2000,9032,34562,154600,195000,216000,319000,428695,557207,774900,1194583,1763178,2249023,2510470
Montenegro,0,0,0,0,0,0,0,0,0,483766,543220,643681,703000,1158032,1294167,1170000
Morocco,29511,42942,74472,116645,369174,2342000,4771739,6198670,7359870,9336878,12392805,16004731,20029300,22815694,25310761,31982279
Mozambique,0,0,2500,6725,12243,51065,152652,254759,435757,708000,1503943,2339317,3079783,4405006,5970781,7224176
Myanmar,2766,7260,8492,8516,11389,13397,22671,47982,66517,92452,128700,214214,247641,367388,502005,594000
Namibia,3500,6644,12500,19500,30000,82000,106600,150000,223671,286095,448857,608846,800270,1052000,1217000,1534528
Nepal,0,0,0,0,5500,10226,17286,21881,81867,116778,227316,1157102,3268895,4200000,5597880,9195562
Netherlands,539000,1016000,1717000,3351000,6745460,10755000,12200000,12100000,13200000,14800000,15834000,17296000,19285000,20627000,20149000,19179000
New Caledonia,825,2060,5198,13040,25450,49948,67917,80000,97113,116443,134265,155000,176350,196474,209595,220811
New Zealand,365000,492800,566200,790000,1395000,1542000,2288000,2449000,2599000,3027000,3530000,3802290,4251207,4620000,4700000,4710000
Nicaragua,4400,5100,7560,18310,44229,90294,164509,237248,466706,738624,1119379,1830220,2502281,3108002,3344563,3962247
Niger,0,0,98,1349,2192,2056,2126,57541,82365,172421,323853,483000,900000,1897628,2599000,3805592
Nigeria,13000,14000,15000,20000,25000,30000,266461,1569050,3149473,9147209,18587000,32322202,40395611,62988492,74518264,87297789
Northern Mariana Islands,1200,0,0,0,2905,3000,13200,17137,18619,20474,0,0,0,0,0,0
Norway,981305,1261445,1676763,2072000,2664000,3224000,3593000,3790000,4060829,4524750,4754453,4868916,5037650,5211207,5359640,5648673
Oman,8052,15000,53000,98000,121000,162000,323000,463000,594000,806280,1333225,1818024,2500000,3219349,3970563,4606133
Pakistan,40964,68038,135027,196096,265614,306493,742606,1698536,2404400,5022908,12771203,34506557,62856712,88019742,94342030,99185844
Palau,0,0,0,0,0,0,0,2458,3924,3924,6051,8346,10691,11667,12744,14512
Panama,0,7000,23474,85883,232888,410401,475141,525845,692406,1259948,1748740,2174451,3010635,3915246,6066683,6646348
Papua New Guinea,0,2285,3857,5558,7059,8560,10700,15000,17500,48311,75000,100000,300000,874000,1417546,1909078
Paraguay,15807,32860,84240,231520,435611,820810,1150000,1667018,1770345,1749048,1887000,3232842,4694361,5790759,5618639,5920858
Peru,73543,200972,421814,742642,1013314,1273857,1793284,2306943,2930343,4092558,5583356,9120000,15417247,20951834,24700361,29115149
Philippines,493862,959024,1343620,1733652,2849980,6454359,12159163,15383001,22509560,32935875,34778995,42868911,57344815,68117167,75586646,79895646
Poland,75000,216900,812200,1928042,3956500,6747000,10004661,13898471,17401222,23096065,29166391,36745454,41388774,43926365,44806632,46952111
Portugal,340845,663651,1506958,3074633,4671458,6664951,7977537,8670000,10002705,10571100,11447313,12226439,13477414,14049187,11795080,12210377
Puerto Rico,287000,329000,367000,580000,813800,1318099,1628161,1646932,1709062,1847927,1993465,2198845,2431512,2543587,2712220,2933988
Qatar,18469,28772,43476,65756,84365,120856,177929,266703,376535,490333,716763,919773,1264206,1429486,1948770,2186415
Romania,9068,17000,201000,643000,1355500,2499000,3845116,5110591,7039898,10215388,13354138,15991000,20400000,24470000,25100000,24400000
Russia,88526,223002,484883,747160,1370630,3263200,7750499,17608756,36135135,73722222,120000000,150674000,171200000,199522340,230499533,237689224
Rwanda,0,0,0,5000,11000,39000,65000,82391,130720,137271,222978,314201,635137,1322637,2429252,3548761
St. Kitts and Nevis,0,300,205,440,700,1200,2100,5000,22000,29000,51000,51000,64500,74500,75500,80000
St. Lucia,1000,1400,1600,1900,2300,2500,2700,14313,99000,101000,105656,105600,147000,175045,189738,198212
St. Vincent and the Grenadines,215,280,346,750,1420,2361,7492,9982,62911,72000,70620,87634,110491,130098,121114,131791
Samoa,0,0,766,1480,2432,2500,2500,2700,10500,16000,24000,45500,86000,124000,151000,167400
San Marino,2340,2279,2350,4980,9580,14503,15854,16759,16900,17085,17150,17390,17500,24402,29949,30587
Sao Tome and Principe,0,0,0,0,0,0,0,1980,4819,7745,11953,18424,30099,50451,64000,102730
Saudi Arabia,16008,190736,332068,627321,836628,1375881,2528640,5007965,7238224,9175764,14164184,19700000,28400000,36000000,44864355,51564375
Senegal,122,1412,6942,27487,87879,250251,301811,553449,782423,1121314,1730106,2982623,3630804,5389133,6901492,8343717
Serbia,0,0,0,0,0,0,0,0,0,4729629,5510690,6643722,8452642,9618767,9912339,9915348
Seychelles,50,1043,2247,5190,16316,25961,36683,44731,49229,54369,58806,70340,77278,93476,110668,117587
Sierra Leone,0,0,0,0,0,11940,26895,67000,113214,0,0,0,776000,1008800,1160000,2000000
Singapore,306000,431010,848600,1094700,1630800,2747400,2991600,3313000,3577000,3990700,4384600,4788600,5924100,6414800,6879800,7384600
Slovak Republic,12315,28658,200140,465364,664072,1243736,2147331,2923383,3678774,4275164,4540374,4893232,6068063,5520043,5497719,5925012
Slovenia,27301,41205,93611,161606,631411,1215601,1470085,1667234,1739146,1848637,1759232,1819572,1928412,2054899,2100435,2121950
Solomon Islands,230,337,658,702,1093,1151,967,999,1060,3000,6000,7000,10900,30000,50000,150000
Somalia,0,0,0,0,0,80000,85000,100000,200000,500000,500000,550000,600000,627000,641000,648200
South Africa,535000,953000,1836000,3337000,5188000,8339000,10787000,13702000,16860000,20839000,33959958,39662000,42300000,45000000,46436000,50372000
Spain,944955,2997645,4337696,6437444,15003708,24265059,29655729,33530997,37219839,38622582,42694115,45695061,48422470,49623339,51083880,51601028
Sri Lanka,51316,71029,114888,174202,256655,430202,667662,931403,1393403,2211158,3361775,5412496,7983489,11082454,16305417,17359312
Sudan,0,2200,3800,8600,13000,23000,103846,190778,527233,1048558,1827940,4683127,8218092,11991469,15339895,18093231
Suriname,1687,2416,2258,6007,17500,41048,87000,108363,168522,212819,232785,320000,380000,657106,763912,890000
Swaziland,0,0,0,4700,14000,33000,55000,68000,85000,145000,200000,250000,380000,531643,664432,725802
Sweden,2008000,2492000,3169000,4109000,5126000,6372300,7178000,7949000,8801000,8785000,9104000,9607000,10116852,10014000,10440000,10885406
Switzerland,447167,662713,1044379,1698565,3057509,4638519,5275791,5736303,6189000,6274763,6834233,7436157,8208884,8896706,9322580,9644157
Syria,0,0,0,0,4000,30000,200000,400000,1185000,2346000,2950000,4675000,6234682,7056158,10021861,11799212
Tajikistan,0,102,320,420,625,1160,1630,13200,47617,135000,265000,2150000,2132770,3673520,4900000,5940842
Tanzania,3500,9038,20200,37940,50950,110518,275560,606859,1298000,1942000,2964000,5609000,8252000,13006793,17469486,20983853
Thailand,1297826,1844627,2203905,1976957,2339401,3056000,7550000,10171550,21828181,27378659,31136541,40723181,52973994,61837164,65952313,71624172
Timor-Leste,0,0,0,0,0,0,0,0,20058,25722,33072,49100,78215,125002,350891,600600
Togo,0,0,2995,7500,17000,50000,95000,165138,243613,332565,433635,708000,1190319,1549542,2187334,2452433
Tonga,300,302,120,130,140,180,236,3354,11200,16400,29872,30051,46525,50472,53000,54300
